,Date,SalesQty,TimeBetweenOrders
2,2014-07-15,307.0,0
29,2014-10-28,391.0,105
27,2014-11-28,199.0,31
28,2015-04-23,701.0,146
15,2015-06-23,472.0,61
6,2015-07-31,222.0,38
16,2015-08-28,289.0,28
1,2015-09-17,299.0,20
17,2015-10-12,898.0,25
7,2015-10-14,625.0,2
8,2015-11-10,189.0,27
0,2015-11-12,508.0,2
18,2015-11-25,1448.0,13
9,2015-12-15,1370.0,20
11,2016-01-11,549.0,27
10,2016-02-05,729.0,25
12,2016-02-24,742.0,19
4,2016-03-11,232.0,16
13,2016-04-01,431.0,21
5,2016-04-15,310.0,14
14,2016-05-09,422.0,24
19,2016-06-13,125.0,35
20,2016-07-18,218.0,35
21,2016-09-12,197.0,56
3,2016-09-15,327.0,3
22,2016-10-31,451.0,46
23,2016-12-15,695.0,45
24,2017-01-05,422.0,21
25,2017-02-06,461.0,32
26,2017-03-06,445.0,28
