,Date,salesQ,skuNum
0,2015-11-12,3,FTR-BLUE
1,2015-11-12,6,FTR-BLUE1000
2,2015-11-12,5,FTRCC-BAY
3,2015-11-12,22,FTRCC-BBL1000
4,2015-11-12,22,FTRCC-BLBLZ1000
5,2015-11-12,6,FTRCC-BLKWVE
6,2015-11-12,20,FTRCC-BLSM
7,2015-11-12,37,FTRCC-BRD
8,2015-11-12,2,FTRCC-BSSLET
9,2015-11-12,21,FTRCC-BTF500
10,2015-11-12,5,FTRCC-BTF750
11,2015-11-12,5,FTRCC-CAMO
12,2015-11-12,17,FTRCC-CLD500
13,2015-11-12,13,FTRCC-DFD350
14,2015-11-12,5,FTRCC-DOT
15,2015-11-12,27,FTRCC-ELCTRC1000
16,2015-11-12,9,FTRCC-FRST
17,2015-11-12,16,FTRCC-GLT350
18,2015-11-12,5,FTRCC-MSS
19,2015-11-12,28,FTRCC-PCE
20,2015-11-12,14,FTRCC-PRSM
21,2015-11-12,6,FTRCC-SKTCH
22,2015-11-12,10,FTRCC-SLF750
23,2015-11-12,15,FTRCC-SNST500
24,2015-11-12,11,FTRCC-SPRNG500
25,2015-11-12,10,FTRCC-STRM
26,2015-11-12,7,FTRCC-SUN
27,2015-11-12,19,FTRCC-SUNSET
28,2015-11-12,6,FTRCC-TBE
29,2015-11-12,5,FTRCC-TSNBLUE
30,2015-11-12,14,FTRCC-WIND
31,2015-11-12,22,FTRCC-WNDR
32,2015-11-12,5,FTRCC-WSH
33,2015-11-12,16,FTRCC-WTWTR1000
34,2015-11-12,12,FTR-FLBL500
35,2015-11-12,4,FTR-GLD
36,2015-11-12,2,FTR-GRN
37,2015-11-12,6,FTR-HTPNK500
38,2015-11-12,6,FTR-MNT
39,2015-11-12,2,FTR-RED
40,2015-11-12,7,FTR-SILVER1000
41,2015-11-12,8,FTR-SLV
42,2015-11-12,2,FTR-SLV500
43,2015-11-12,25,FTR-WOODGRAIN
44,2015-09-17,5,FTR-BLK
45,2015-09-17,3,FTR-BLUE
46,2015-09-17,1,FTR-BLUE500
47,2015-09-17,10,FTRCC-ABSTR500
48,2015-09-17,7,FTRCC-BAY
49,2015-09-17,1,FTRCC-BLBCHS
50,2015-09-17,2,FTRCC-BLBLZ1000
51,2015-09-17,4,FTRCC-BLKWVE
52,2015-09-17,3,FTRCC-BLKWVE1000
53,2015-09-17,22,FTRCC-BMB750
54,2015-09-17,5,FTRCC-BRD
55,2015-09-17,1,FTRCC-BRD500
56,2015-09-17,9,FTRCC-BSSLET
57,2015-09-17,5,FTRCC-BSSLETGRN
58,2015-09-17,1,FTRCC-BTF500
59,2015-09-17,19,FTRCC-BTF750
60,2015-09-17,3,FTRCC-CAMO
61,2015-09-17,5,FTRCC-DOT
62,2015-09-17,2,FTRCC-ELCTRC1000
63,2015-09-17,4,FTRCC-FRST
64,2015-09-17,5,FTRCC-MSS
65,2015-09-17,11,FTRCC-OCN750
66,2015-09-17,1,FTRCC-PCE
67,2015-09-17,5,FTRCC-PRSM
68,2015-09-17,25,FTRCC-PTNT1000
69,2015-09-17,3,FTRCC-SLF750
70,2015-09-17,20,FTRCC-SNG
71,2015-09-17,9,FTRCC-STRM
72,2015-09-17,2,FTRCC-SUN
73,2015-09-17,25,FTRCC-SUN1000
74,2015-09-17,3,FTRCC-TBE
75,2015-09-17,7,FTRCC-TSNBLUE
76,2015-09-17,10,FTRCC-WIND
77,2015-09-17,7,FTRCC-WNDW500
78,2015-09-17,2,FTRCC-WSH
79,2015-09-17,24,FTRCC-WTWTR1000
80,2015-09-17,4,FTR-GLD
81,2015-09-17,3,FTR-GRN
82,2015-09-17,3,FTR-MNT
83,2015-09-17,14,FTR-SILVER1000
84,2015-09-17,4,FTR-SLV
133,2014-07-15,14,FTR-BLUE
134,2014-07-15,34,FTRCC-ANGL
135,2014-07-15,5,FTRCC-AUTUMN
136,2014-07-15,21,FTRCC-BIGBLU
137,2014-07-15,5,FTRCC-BLBCHS
138,2014-07-15,33,FTRCC-BLKWVE
139,2014-07-15,37,FTRCC-BSSLET
140,2014-07-15,34,FTRCC-FRST
141,2014-07-15,5,FTRCC-NOVA
142,2014-07-15,5,FTRCC-RNBW
143,2014-07-15,29,FTRCC-SEA500
144,2014-07-15,20,FTRCC-WIND
145,2014-07-15,7,FTR-GRN
146,2014-07-15,40,FTR-SILVER1000
147,2014-07-15,18,FTR-SLV
148,2016-09-15,9,FTR-BLUE1000
149,2016-09-15,4,FTRCC-BEAM
150,2016-09-15,19,FTRCC-BLBLZ1000
151,2016-09-15,2,FTRCC-BRD
152,2016-09-15,2,FTRCC-BSSLET
153,2016-09-15,13,FTRCC-BTF500
154,2016-09-15,10,FTRCC-BTF750
155,2016-09-15,22,FTRCC-CLM500
156,2016-09-15,26,FTRCC-CRCT1000
157,2016-09-15,10,FTRCC-CRNT500
158,2016-09-15,4,FTRCC-DEEP
159,2016-09-15,13,FTRCC-DFD350
160,2016-09-15,17,FTRCC-DGN500
161,2016-09-15,6,FTRCC-DRM
162,2016-09-15,9,FTRCC-ELCTRC1000
163,2016-09-15,8,FTRCC-FLK350
164,2016-09-15,1,FTRCC-KOFE500
165,2016-09-15,16,FTRCC-KORU1000
166,2016-09-15,6,FTRCC-MDNT1000
167,2016-09-15,10,FTRCC-MSS
168,2016-09-15,5,FTRCC-MST
169,2016-09-15,19,FTRCC-ORNT
170,2016-09-15,1,FTRCC-PCE
171,2016-09-15,8,FTRCC-PRSM
172,2016-09-15,2,FTRCC-SKTCH
173,2016-09-15,13,FTRCC-SLF750
174,2016-09-15,2,FTRCC-SNST500
175,2016-09-15,12,FTRCC-SPRNG500
176,2016-09-15,2,FTRCC-STTC
177,2016-09-15,2,FTRCC-TARX
178,2016-09-15,2,FTR-FLBL500
179,2016-09-15,5,FTR-GLD
180,2016-09-15,2,FTR-HTPNK500
181,2016-09-15,10,FTR-MNT
182,2016-09-15,9,FTR-SLV
183,2016-09-15,3,FTR-WOOD500
184,2016-09-15,23,FTR-WOODGRAIN
198,2016-03-11,1,FTR-BLUE
199,2016-03-11,1,FTR-BLUE1000
200,2016-03-11,3,FTR-FLBL500
201,2016-03-11,2,FTR-GLD
202,2016-03-11,1,FTR-GRN
203,2016-03-11,2,FTR-HTPNK500
204,2016-03-11,3,FTR-MNT
205,2016-03-11,2,FTR-SILVER1000
206,2016-03-11,4,FTR-SLV
207,2016-03-11,5,FTR-SLV500
208,2016-03-11,2,FTR-WOOD500
209,2016-03-11,7,FTR-WOODGRAIN
210,2016-03-11,1,FTRCC-BAY
211,2016-03-11,10,FTRCC-BBL1000
212,2016-03-11,8,FTRCC-BLBLZ1000
213,2016-03-11,12,FTRCC-BLSM
214,2016-03-11,3,FTRCC-BMB750
215,2016-03-11,9,FTRCC-BRD
216,2016-03-11,8,FTRCC-BTF500
217,2016-03-11,11,FTRCC-CHLL
218,2016-03-11,8,FTRCC-CLD500
219,2016-03-11,9,FTRCC-DEEP
220,2016-03-11,10,FTRCC-DFD350
221,2016-03-11,8,FTRCC-DRM
222,2016-03-11,8,FTRCC-FLK350
223,2016-03-11,4,FTRCC-KOFE500
224,2016-03-11,11,FTRCC-MDNT1000
225,2016-03-11,2,FTRCC-MSS
226,2016-03-11,3,FTRCC-PCE
227,2016-03-11,3,FTRCC-PRSM
228,2016-03-11,4,FTRCC-SHMR
229,2016-03-11,6,FTRCC-SKTCH
230,2016-03-11,10,FTRCC-SLF750
231,2016-03-11,6,FTRCC-SNST500
232,2016-03-11,3,FTRCC-SPRNG500
233,2016-03-11,8,FTRCC-STTC
234,2016-03-11,2,FTRCC-SUNSET
235,2016-03-11,2,FTRCC-TBE
236,2016-03-11,12,FTRCC-WNDR
237,2016-03-11,3,FTRCC-WRM
238,2016-03-11,4,FTRCC-WSH
239,2016-03-11,11,FTRCC-WTWTR1000
240,2016-04-15,5,FTR-BLUE
241,2016-04-15,4,FTR-BLUE1000
242,2016-04-15,1,FTR-FLBL500
243,2016-04-15,10,FTR-GLD
244,2016-04-15,1,FTR-HTPNK500
245,2016-04-15,6,FTR-MNT
246,2016-04-15,5,FTR-RED
247,2016-04-15,11,FTR-SILVER1000
248,2016-04-15,7,FTR-SLV
249,2016-04-15,4,FTR-SLV500
250,2016-04-15,1,FTR-WOOD500
251,2016-04-15,15,FTR-WOODGRAIN
252,2016-04-15,3,FTRCC-BAY
253,2016-04-15,6,FTRCC-BBL1000
254,2016-04-15,8,FTRCC-BLBLZ1000
255,2016-04-15,14,FTRCC-BLSM
256,2016-04-15,3,FTRCC-BMB750
257,2016-04-15,10,FTRCC-BRD
258,2016-04-15,12,FTRCC-BTF500
259,2016-04-15,4,FTRCC-BTF750
260,2016-04-15,10,FTRCC-CHLL
261,2016-04-15,12,FTRCC-CLD500
262,2016-04-15,10,FTRCC-DEEP
263,2016-04-15,10,FTRCC-DFD350
264,2016-04-15,9,FTRCC-DRM
265,2016-04-15,3,FTRCC-FLK350
266,2016-04-15,2,FTRCC-GLT350
267,2016-04-15,9,FTRCC-KOFE500
268,2016-04-15,11,FTRCC-MDNT1000
269,2016-04-15,4,FTRCC-MSS
270,2016-04-15,15,FTRCC-PCE
271,2016-04-15,5,FTRCC-PRSM
272,2016-04-15,5,FTRCC-PTNT1000
273,2016-04-15,5,FTRCC-SHMR
274,2016-04-15,3,FTRCC-SKTCH
275,2016-04-15,7,FTRCC-SNST500
276,2016-04-15,14,FTRCC-SPRNG500
277,2016-04-15,11,FTRCC-STTC
278,2016-04-15,2,FTRCC-SUNSET
279,2016-04-15,11,FTRCC-WNDR
280,2016-04-15,7,FTRCC-WRM
281,2016-04-15,7,FTRCC-WSH
282,2016-04-15,8,FTRCC-WTWTR1000
283,2015-07-31,2,FTR-BLUE1000
284,2015-07-31,2,FTR-BLUE500
285,2015-07-31,5,FTR-GLD
286,2015-07-31,3,FTR-GOLD500
287,2015-07-31,5,FTR-MNT
288,2015-07-31,1,FTR-SILVER1000
289,2015-07-31,4,FTR-SLV
