,Date,salesQ,skuNum
0,2017-03-05,1,FTRCC-POOL
1,2017-03-03,1,FTRCC-POOL
2,2017-02-19,1,FTR-BLKWD
3,2017-02-15,1,FTR-BLKWD
4,2017-02-15,1,FTRCC-WTFTHR
5,2017-02-11,1,FTRCC-POOL
6,2017-02-08,1,FTRCC-WTFTHR
7,2017-01-28,1,FTR-WTSND
8,2017-01-28,1,FTR-BLKWD
9,2017-01-23,1,FTRCC-WTFTHR
10,2017-01-19,1,FTRCC-WTFTHR
11,2017-01-19,1,FTRCC-LEAF
12,2017-01-19,1,FTRCC-POOL
13,2017-01-17,1,FTRCC-LEAF
14,2017-01-15,1,FTRCC-SWIRL
15,2017-01-11,1,FTR-WTSND
16,2017-01-10,1,FTR-WTSND
17,2017-01-10,1,FTR-BLKWD
18,2017-01-10,1,FTR-WTSND
19,2017-01-08,1,FTRCC-POOL
20,2017-01-06,1,FTRCC-LEAF
21,2017-03-03,1,FTRCC-POOL
22,2017-03-05,1,FTRCC-POOL
